id,obs_id,choice,chosen_alt,av_alt1,av_alt2,av_alt3,tt1,tt2,tt3,tc1,tc2,tc3,age,sex,edu,inchh,urb,sclass
33,260,2,alt2,1,1,1,23,27,31,6,4,3,2,2,6,3,4,2
34,261,2,alt2,1,1,1,23,27,35,6,4,3,2,1,6,3,2,2
34,262,3,alt3,1,1,1,27,35,23,5,4,6,2,1,6,3,2,2
34,263,2,alt2,1,1,1,35,23,31,3,5,4,2,1,6,3,2,2
34,264,2,alt2,1,1,1,27,23,35,4,5,3,2,1,6,3,2,2
34,265,2,alt2,1,1,1,35,27,31,3,6,5,2,1,6,3,2,2
34,266,1,alt1,1,1,1,23,27,35,6,5,3,2,1,6,3,2,2
34,267,3,alt3,1,1,1,35,31,23,3,5,6,2,1,6,3,2,2
34,268,2,alt2,1,1,1,27,23,31,5,6,3,2,1,6,3,2,2
34,269,2,alt2,1,1,1,35,31,27,3,4,6,2,1,6,3,2,2
34,270,2,alt2,1,1,1,23,27,31,6,4,3,2,1,6,3,2,2
35,271,2,alt2,1,1,1,23,27,35,6,4,3,3,2,4,2,3,5
35,272,3,alt3,1,1,1,27,35,23,5,4,6,3,2,4,2,3,5
35,273,2,alt2,1,1,1,35,23,31,3,5,4,3,2,4,2,3,5
35,274,1,alt1,1,1,1,27,23,35,4,5,3,3,2,4,2,3,5
35,275,1,alt1,1,1,1,35,27,31,3,6,5,3,2,4,2,3,5
35,276,3,alt3,1,1,1,23,27,35,6,5,3,3,2,4,2,3,5
35,277,3,alt3,1,1,1,35,31,23,3,5,6,3,2,4,2,3,5
35,278,3,alt3,1,1,1,27,23,31,5,6,3,3,2,4,2,3,5
35,279,2,alt2,1,1,1,35,31,27,3,4,6,3,2,4,2,3,5
35,280,3,alt3,1,1,1,23,27,31,6,4,3,3,2,4,2,3,5
36,281,2,alt2,1,1,1,23,27,35,6,4,3,3,2,4,2,3,5
36,282,1,alt1,1,1,1,27,35,23,5,4,6,3,2,4,2,3,5
36,283,2,alt2,1,1,1,35,23,31,3,5,4,3,2,4,2,3,5
36,284,1,alt1,1,1,1,27,23,35,4,5,3,3,2,4,2,3,5
36,285,1,alt1,1,1,1,35,27,31,3,6,5,3,2,4,2,3,5
36,286,2,alt2,1,1,1,23,27,35,6,5,3,3,2,4,2,3,5
36,287,1,alt1,1,1,1,35,31,23,3,5,6,3,2,4,2,3,5
36,288,1,alt1,1,1,1,27,23,31,5,6,3,3,2,4,2,3,5
36,289,2,alt2,1,1,1,35,31,27,3,4,6,3,2,4,2,3,5
36,290,2,alt2,1,1,1,23,27,31,6,4,3,3,2,4,2,3,5
37,291,2,alt2,1,1,1,23,27,35,6,4,3,2,2,4,2,1,1
37,292,3,alt3,1,1,1,27,35,23,5,4,6,2,2,4,2,1,1
37,293,3,alt3,1,1,1,35,23,31,3,5,4,2,2,4,2,1,1
37,294,1,alt1,1,1,1,27,23,35,4,5,3,2,2,4,2,1,1
37,295,2,alt2,1,1,1,35,27,31,3,6,5,2,2,4,2,1,1
37,296,2,alt2,1,1,1,23,27,35,6,5,3,2,2,4,2,1,1
37,297,3,alt3,1,1,1,35,31,23,3,5,6,2,2,4,2,1,1
37,298,1,alt1,1,1,1,27,23,31,5,6,3,2,2,4,2,1,1
37,299,2,alt2,1,1,1,35,31,27,3,4,6,2,2,4,2,1,1
37,300,2,alt2,1,1,1,23,27,31,6,4,3,2,2,4,2,1,1
38,301,1,alt1,1,1,1,23,27,35,6,4,3,1,2,4,3,2,2
38,302,3,alt3,1,1,1,27,35,23,5,4,6,1,2,4,3,2,2
38,303,2,alt2,1,1,1,35,23,31,3,5,4,1,2,4,3,2,2
38,304,2,alt2,1,1,1,27,23,35,4,5,3,1,2,4,3,2,2
38,305,2,alt2,1,1,1,35,27,31,3,6,5,1,2,4,3,2,2
38,306,1,alt1,1,1,1,23,27,35,6,5,3,1,2,4,3,2,2
38,307,3,alt3,1,1,1,35,31,23,3,5,6,1,2,4,3,2,2
38,308,2,alt2,1,1,1,27,23,31,5,6,3,1,2,4,3,2,2
38,309,3,alt3,1,1,1,35,31,27,3,4,6,1,2,4,3,2,2
38,310,1,alt1,1,1,1,23,27,31,6,4,3,1,2,4,3,2,2
40,311,2,alt2,1,1,1,23,27,35,6,4,3,3,1,6,3,2,2
40,312,1,alt1,1,1,1,27,35,23,5,4,6,3,1,6,3,2,2
40,313,2,alt2,1,1,1,35,23,31,3,5,4,3,1,6,3,2,2
40,314,2,alt2,1,1,1,27,23,35,4,5,3,3,1,6,3,2,2
40,315,3,alt3,1,1,1,35,27,31,3,6,5,3,1,6,3,2,2
40,316,2,alt2,1,1,1,23,27,35,6,5,3,3,1,6,3,2,2
40,317,2,alt2,1,1,1,35,31,23,3,5,6,3,1,6,3,2,2
40,318,1,alt1,1,1,1,27,23,31,5,6,3,3,1,6,3,2,2
40,319,2,alt2,1,1,1,35,31,27,3,4,6,3,1,6,3,2,2
40,320,2,alt2,1,1,1,23,27,31,6,4,3,3,1,6,3,2,2
41,321,2,alt2,1,1,1,23,27,35,6,4,3,4,1,3,3,2,3
41,322,1,alt1,1,1,1,27,35,23,5,4,6,4,1,3,3,2,3
41,323,1,alt1,1,1,1,35,23,31,3,5,4,4,1,3,3,2,3
41,324,1,alt1,1,1,1,27,23,35,4,5,3,4,1,3,3,2,3
41,325,1,alt1,1,1,1,35,27,31,3,6,5,4,1,3,3,2,3
41,326,2,alt2,1,1,1,23,27,35,6,5,3,4,1,3,3,2,3
41,327,2,alt2,1,1,1,35,31,23,3,5,6,4,1,3,3,2,3
41,328,1,alt1,1,1,1,27,23,31,5,6,3,4,1,3,3,2,3
41,329,1,alt1,1,1,1,35,31,27,3,4,6,4,1,3,3,2,3
41,330,2,alt2,1,1,1,23,27,31,6,4,3,4,1,3,3,2,3
44,331,3,alt3,1,1,1,23,27,35,6,4,3,3,1,3,1,1,5
44,332,2,alt2,1,1,1,27,35,23,5,4,6,3,1,3,1,1,5
44,333,1,alt1,1,1,1,35,23,31,3,5,4,3,1,3,1,1,5
44,334,3,alt3,1,1,1,27,23,35,4,5,3,3,1,3,1,1,5
44,335,1,alt1,1,1,1,35,27,31,3,6,5,3,1,3,1,1,5
44,336,3,alt3,1,1,1,23,27,35,6,5,3,3,1,3,1,1,5
44,337,1,alt1,1,1,1,35,31,23,3,5,6,3,1,3,1,1,5
44,338,3,alt3,1,1,1,27,23,31,5,6,3,3,1,3,1,1,5
